Name,S1,S2,S3,S4,S5,S6,S7,S8
Group,WT,WT,WT,WT,Treatment,Treatment,Treatment,Treatment
"4.42_402.16144_polar",0,1158,0,474,936,610,852,444
"4.42_184.10794_polar",1058,1628,752,1510,1556,1382,1480,1428
"4.44_694.23234_polar",1270,1214,1156,1726,0,190,102,0
"4.43_303.20264_polar",12358,8570,6718,7658,150,234,268,274
"4.45_517.18168_polar",6732,7276,7116,9184,7572,7872,6494,6110
"4.44_748.25888_polar",1226,1480,0,1820,1518,1714,1670,1654
"4.44_606.18414_polar",1738,1376,886,1616,2418,1506,2182,1812
"4.44_835.24581_polar",1096,0,856,1546,1800,1646,1856,1996
"4.46_457.11624_polar",14640,20030,14316,24260,17256,29016,26444,32592
"4.45_138.02192_polar",1922,1292,1258,2078,1826,2070,1548,1896
"4.46_404.25055_polar",864,716,470,1016,0,166,160,0
"4.47_427.13926_polar",3922,2644,598,3108,1904,1448,1776,1558
"4.47_459.15767_polar",7306,9002,7984,7268,12548,9462,11024,9422
"4.49_246.0732_polar",2682,2380,1212,3004,684,796,746,750
"4.49_219.0621_polar",8662,7906,4504,9544,4928,4148,4366,4508
"4.47_244.16568_polar",1284,904,970,1156,942,946,1056,850
"4.47_277.13945_polar",1604,930,614,1446,1656,1228,1632,2502
"4.48_457.16831_polar",1302,1674,1296,1542,1948,1570,2104,2146
"4.51_125.01783_polar",6496,7044,7082,7722,9354,7840,8824,9516
"4.49_360.22393_polar",7802,5368,3684,5834,408,252,148,0
"4.51_499.14061_polar",0,418,0,0,1094,1374,1006,1402
"4.52_418.24761_polar",2118,2216,3072,1962,410,158,0,0
"4.53_754.25203_polar",1142,1078,892,1320,0,0,0,0
"4.53_376.16462_polar",0,140,166,0,768,1222,500,872
"4.52_268.03788_polar",358,496,1150,252,2828,2892,2776,3808
"4.54_377.31203_polar",14452,11040,13588,10436,0,0,0,0
"4.55_144.13827_polar",1270,1174,738,1096,522,270,362,328
"4.56_72.08086_polar",1406,1270,1016,1438,0,0,846,0
"4.58_74.02365_polar",5436,5764,6376,10890,6026,9264,10214,8540
"4.58_175.14408_polar",19390,16130,9252,19654,5604,7108,7104,8346
"4.59_507.77049_polar",0,1606,0,0,2214,1732,1666,0
"4.59_101.07095_polar",1404,1470,1202,1630,1722,1842,1874,1912
"4.6_306.09303_polar",3092,2204,2092,2784,580,644,0,0
"4.61_293.14542_polar",3664,5276,2362,5920,4922,6724,6024,7580
"4.61_434.26106_polar",2356,1346,1132,1968,968,752,0,0
"4.62_286.04902_polar",620,492,270,736,1070,702,906,686
"4.63_476.16154_polar",478,486,364,460,1176,0,852,0
"4.64_381.15036_polar",3552,2882,2158,3886,86,0,246,0
"4.67_249.10815_polar",9484,8394,6492,10558,14978,13084,15464,11908
"4.69_161.12849_polar",3074,2466,1956,3520,712,724,1180,1032
"4.69_489.75328_polar",4692,3896,3320,3732,0,0,0,0
"4.7_407.14089_polar",1708,1466,1282,1978,156,0,340,346
"4.7_378.11426_polar",918,836,666,1134,0,166,0,152
"4.71_307.09581_polar",2184,2364,3074,2738,4138,2970,3378,3082
"4.71_666.22516_polar",2008,1594,1182,2348,1410,1706,1552,1170
"4.74_305.10876_polar",1744,1364,914,1616,0,0,252,302
"4.75_151.09645_polar",1340,1206,0,938,974,1494,1146,0
"4.78_55.05424_polar",1072,1590,1156,1448,1464,1492,2160,2308
"4.81_490.14204_polar",8206,8224,8428,10242,420,304,408,382
"4.8_364.11739_polar",996,1044,0,1014,1758,1508,0,1426
"4.8_636.23417_polar",5074,4706,4728,4708,0,914,710,0
"4.81_531.23941_polar",3408,3464,2508,3770,0,0,76,0
"4.81_186.07607_polar",2616,2760,1848,3614,290,292,232,0
"4.81_608.23904_polar",778,828,894,1656,0,0,0,228
